1050564115 function calls (1050563297 primitive calls) in 3148.538 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
      275    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
 52579781   97.330    0.000   97.330    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      214    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.199    0.012    0.199    0.012 {method 'read' of 'file' objects}
      100    0.013    0.000    0.013    0.000 {method 'readlines' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       38    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      101    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    55000    0.021    0.000    0.021    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    54007    0.029    0.000    0.029    0.000 {method 'split' of 'str' objects}
   219290    0.068    0.000    0.068    0.000 {method 'startswith' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
      614    0.000    0.000    0.000    0.000 {min}
      101    0.096    0.001    0.096    0.001 {open}
      301    0.000    0.000    0.000    0.000 {ord}
       40    0.000    0.000    0.000    0.000 {posix.close}
       24    0.000    0.000    0.000    0.000 {posix.fdopen}
        8    0.002    0.000    0.002    0.000 {posix.fork}
      101    0.000    0.000    0.000    0.000 {posix.getcwd}
       32    0.000    0.000    0.000    0.000 {posix.pipe}
        1    0.000    0.000    0.000    0.000 {posix.putenv}
        8    0.004    0.001    0.004    0.001 {posix.read}
      100    0.013    0.000    0.013    0.000 {posix.stat}
        2    0.000    0.000    0.000    0.000 {posix.sysconf}
       36    0.000    0.000    0.000    0.000 {posix.waitpid}
143425989  190.350    0.000  190.350    0.000 {range}
        6    0.000    0.000    0.000    0.000 {repr}
     1700    0.001    0.000    0.001    0.000 {setattr}
159997767  174.779    0.000  174.779    0.000 {sum}
        6    0.000    0.000    0.000    0.000 {sys._getframe}
        9    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 {thread.get_ident}
        2    0.000    0.000    0.000    0.000 {time.time}
   351463    1.400    0.000    1.400    0.000 {zip}

